Calais,0,0,0,0,0,0,0,0
Addison,512,512,0,16146,0,16658,0,0
Albany,2372,2372,0,480122,0,482494,1645.78,0
Alburgh,0,0,0,0,0,0,0,0
Andover,31223,30434,789,266527,0,297750,202064.72,0
Arlington,246511,238852,7659,179606,0,426117,32281.45,192557.08
Weathersfield,102157,98350,3806,485294,0,587450,2425361.62,131370.44
Athens,27788,27788,0,131298,0,159086,327.12,0
Averill,0,0,0,0,0,0,0,0
Bakersfield,0,0,0,0,0,0,0,0
Baltimore,0,0,0,15335,0,15335,0,0
Barnard,108980,108980,0,1545838,0,1654818,705365.87,6917.85
Barnet,3996,3996,0,55417,0,59413,0,0
Barre,52773,49753,3020,128999,286000,467772,0,30041.72
Barton,8456,6846,1609,22315,0,30770,11936.9,47764.52
Canaan,0,0,0,0,0,0,0,0
Rockingham,221485,195308,26177,1461653,196000,1879138,958786.63,245903.34
Mount Holly,46834,46634,200,443275,0,490109,489443.26,9917.16
Belvidere,0,0,0,0,0,0,0,0
Bennington,296337,264104,32233,1770202,0,2066539,1229838.02,140894.81
Benson,3080,2880,200,145416,0,148496,13075.5,0
Berlin,885420,821081,64340,447723,0,1333144,272936.59,756967.18
Bethel,838388,787376,51012,5206254,564000,6608642,4832978.8,801982.5
Bolton,21414,21014,400,105950,75000,202364,20128.68,113918.69
Castleton,37857,35659,2198,115262,0,153119,56239.24,19369.99
Winhall,26297,26297,0,183850,0,210147,405778.69,111235.35
Bradford,2567,2567,0,3420,0,5987,0,0
Braintree,228284,224710,3574,2005277,0,2233561,645985,60000
Brandon,116510,114373,2137,578049,122000,816559,260234.25,370179.14
Brattleboro,699522,628571,70951,1740906,236000,2676428,1497452.56,2327794.99
Bridgewater,628942,616070,12872,1842172,918000,3389114,2475993.83,842095.78
Bridport,0,0,0,487360,0,487360,0,0
Brighton,0,0,0,27850,0,27850,312388.45,0
Bristol,6567,6567,0,39909,0,46476,551921.7,0
Brookfield,49980,49980,0,62556,0,112536,8645.77,0
Brookline,38900,38003,897,38593,0,77493,0,347115
Brownington,0,0,0,710762,0,710762,0,0
West Windsor,101179,99242,1937,668249,0,769428,337438.1,0
Burlington,14273,14073,200,14851,154000,183124,0,5066.32
Cabot,8677,8677,0,0,0,8677,70040.87,0
Cambridge,13632,13632,0,22451,0,36083,22397.43,0
Grafton,113139,112957,182,2886538,184000,3183677,1763554,178556.77
Cavendish,318209,288733,29476,3248006,0,3566215,3631738.9,554223.48
Rutland,670141,621826,48316,959024,0,1629166,73259.88,899024.01
Charleston,385,385,0,168655,0,169040,11459.81,0
Charlotte,0,0,0,0,0,0,0,0
Chelsea,0,0,0,5886,0,5886,8400.34,49946.76
Chester,238095,219662,18433,1645284,464000,2347379,1328008.44,821374.03
Chittenden,5414,5414,0,174719,0,178351,18396.63,0
Clarendon,132942,130598,2343,3137,60000,196078,797881.72,4463.11
Colchester,15955,15955,0,0,0,15955,3135.88,0
Concord,1477,1477,0,0,0,1477,0,0
Corinth,49038,49038,0,56156,0,102494,0,0
Cornwall,1415,1415,0,0,0,1415,0,0
Coventry,13791,12842,949,17768,0,31559,10763.89,133944.25
Craftsbury,0,0,0,16265,0,16265,21889.73,0
Shrewsbury,102956,101349,1606,3001918,0,3104873,228996.47,164551.45
Danby,59434,53000,6434,147915,58000,265349,135935.29,9007.68
Danville,9722,9722,0,60788,0,70510,18396.01,0
Derby,0,0,0,0,0,0,0,0
Dorset,91223,87793,3430,13241,0,104464,9606.36,0
Dover,169248,159923,9325,456882,0,626130,58230.08,184013.66
Dummerston,4176,4176,0,52050,0,56226,647263.6,0
Duxbury,36275,30409,5866,629595,0,665870,0,280787.55
Berkshire,0,0,0,0,0,0,0,0
Burke,3545,3545,0,0,0,3545,0,0
Fairfield,0,0,0,0,0,0,0,0
Hardwick,38192,29853,8340,23473,0,61666,288730.12,78019.39
East Haven,0,0,0,0,0,0,0,0
Middlebury,45408,44542,866,64823,0,110231,0,0
East Montpelier,41386,36613,4773,32135,0,73521,673192.35,0
Randolph,401538,381417,20122,733461,0,1135000,17818.38,478787.22
Thetford,49703,47387,2316,22799,0,72502,131721.02,17658.97
Wallingford,196928,186603,10326,274952,0,471881,296885.15,604334.61
Eden,0,0,0,0,0,0,0,0
Elmore,2705,2705,0,46318,0,49023,8623.32,0
Enosburg,4080,4080,0,3141,0,7221,0,0
Essex,0,0,0,0,0,0,0,0
Fair Haven,51312,41251,10061,1693,0,53005,0,20368.15
Fairfax,554,554,0,0,0,554,0,0
Fairlee,2359,2359,0,0,0,2359,0,0
Fayston,0,0,0,11264,0,11264,150745.64,0
Ferrisburgh,4476,4476,0,0,0,4476,0,0
Pittsford,65535,45723,19812,61590,0,127125,5689.01,48860.05
Franklin,0,0,0,0,0,0,0,0
Stockbridge,558256,521541,36715,4426029,1700000,6684285,2.07E+07,1046305.42
Lunenburg,10846,10846,0,24347,0,35193,1434.59,0
Glover,0,0,0,0,0,0,0,0
Goshen,0,0,0,38522,0,38522,758561.63,0
Grand Isle,0,0,0,0,0,0,0,0
Granville,118310,115813,2497,528820,550000,1197130,1582051.68,120180.67
Greensboro,719,719,0,35142,0,35861,26652.18,0
Groton,43235,41054,2180,524113,0,567347,253355.14,34139.49
Guildhall,0,0,0,0,0,0,1284,0
Guilford,27050,27050,0,860816,0,887866,9957.5,31866.03
Halifax,65001,63673,1328,3971322,0,4036323,326681.75,0
Hancock,150818,147135,3683,1414492,0,1565310,1998084.17,168537.5
Hartford,760554,692504,68050,2120389,1400000,4280943,1076392.35,1399074.01
Hartland,79659,79005,654,127460,0,207119,111909.96,1931.85
Highgate,0,0,0,0,0,0,0,0
Hinesburg,0,0,0,0,0,0,0,0
Holland,0,0,0,13460,0,13460,0,0
Hubbardton,0,0,0,87885,0,87885,1338701.78,0
Huntington,15684,15253,431,128105,0,143789,40281,4997.03
Hyde Park,5053,5053,0,0,0,5053,0,0
Ira,1402,1402,0,49841,0,51243,92376.1,11500
Irasburg,14476,14476,0,45879,0,60355,58571.4,0
Isle La Motte,0,0,0,0,0,0,0,0
Whitingham,165276,154574,10702,964893,0,1130169,669215.66,152093.63
Jamaica,238451,227836,10615,4945320,0,5183771,5345943.25,406909.19
Jay,6060,6060,0,79461,0,85521,67760.06,4628.04
Jericho,161,161,0,10284,0,10445,0,0
Johnson,2790,2790,0,19622,0,22412,8113.77,7689.34
Richmond,222519,212693,9826,122791,0,345310,3027.5,383799.37
Killington,108158,107004,1154,2109137,0,2217295,738086.73,0
Kirby,0,0,0,5864,0,5864,0,0
Landgrove,0,0,0,4093,0,4093,0,0
Leicester,10290,10290,0,5435,0,15725,0,0
Lincoln,15763,15563,200,164124,0,179887,83306.02,49685.78
Londonderry,281015,274099,6916,194942,621000,1096957,470242.9,589139.72
Lowell,2125,2125,0,28415,0,30540,63252.18,0
Ludlow,602342,578938,23404,2164318,0,2766660,381249.52,2831179.42
Lyndon,112865,101649,11216,33963,0,176008,29295.28,672733.03
Manchester,144971,136185,8786,179158,0,324129,91890.13,194994.57
Marlboro,170343,160820,9523,881921,0,1052264,757972.03,56974.96
Marshfield,58026,52761,5265,57489,0,115515,4390.5,0
Mendon,23911,23328,583,1502837,0,1526748,2391248.99,0
Middlesex,47697,38420,9278,28632,95000,171330,3592,216004.18
Middletown Springs,26711,26711,0,68970,0,95681,298670.85,6337.2
Milton,7097,6947,150,46440,0,53537,0,0
Montgomery,13054,12076,978,68840,0,81894,12715.5,4438.54
Montpelier,1195196,1064657,130539,19745,0,1214941,7826.23,406781.92
Moretown,487322,469342,17980,1931323,0,2418645,222224.21,2578177.87
Morgan,0,0,0,1570,0,1570,0,0
